Keyword,lvl
Computation and Language,1
Formal Languages and Automata Theory,2
Formal Languages: Sets of strings formed from an alphabet according to specific syntactic rules.,3
Regular Languages: Can be recognized by finite automata.,4
Context-Free Languages: Can be generated by context-free grammars.,4
Automata Theory: The study of abstract machines and the problems they can solve.,3
Finite Automata: Abstract machines with a limited number of states.,4
Deterministic Finite Automata (DFA): Each state has exactly one transition for each input symbol.,5
"Nondeterministic Finite Automata (NFA): States can have zero, one, or multiple transitions for each input symbol.",5
"Practical Implementation: Python's re library for regular expressions, finite automata simulators in educational tools like JFLAP.",5
"Pushdown Automata: Machines with an additional stack storage, recognizing context-free languages.",4
"Practical Implementation: Parsing algorithms like CYK and Earley, implemented in tools such as ANTLR.",5
Turing Machines: Theoretical machines that can simulate any algorithm.,4
Universal Turing Machine: A Turing machine that can simulate any other Turing machine.,5
Practical Implementation: Simulation of Turing machines in educational environments like JFLAP.,5
Natural Language Processing (NLP),2
Syntax: Analysis of sentence structure and grammar rules.,3
Parsing Algorithms: Methods for analyzing syntactic structure.,4
CYK Algorithm: A dynamic programming algorithm for parsing context-free grammars.,5
Earley Parser: An algorithm for parsing ambiguous and complex grammars.,5
Practical Implementation: NLP libraries such as NLTK and SpaCy.,5
Semantics: Understanding and representing meaning in language.,3
Semantic Parsing: Converting natural language into formal representations.,4
Lambda Calculus: A formal system for expressing computation based on function abstraction and application.,5
Practical Implementation: Semantic parsers in libraries like AllenNLP.,5
Pragmatics: Contextual language understanding and use.,3
Morphology: Study of word formation and structure.,3
Stemming Algorithms: Reducing words to their base forms.,4
Porter Stemmer: A widely used algorithm for stemming English words.,5
Practical Implementation: Available in NLTK and SpaCy.,5
Named Entity Recognition (NER): Identifying and classifying entities in text.,3
Conditional Random Fields (CRFs): A probabilistic framework for labeling and segmenting sequential data.,4
"Practical Implementation: Implementations in libraries like NLTK, SpaCy, and Stanford NLP.",5
Sentiment Analysis: Determining the emotional tone of text.,3
VADER (Valence Aware Dictionary and sEntiment Reasoner): A lexicon and rule-based sentiment analysis tool.,4
Practical Implementation: Implementations in libraries like NLTK and Hugging Face's Transformers.,5
Algorithm Design and Analysis,2
Algorithms: Step-by-step procedures for solving problems.,3
String Matching Algorithms: Techniques for finding patterns within text.,4
Knuth-Morris-Pratt (KMP) Algorithm: An efficient string matching algorithm.,5
Boyer-Moore Algorithm: An algorithm that skips sections of text to find matches faster.,5
Practical Implementation: Available in Python's re library and custom implementations.,5
Parsing Algorithms: Methods for analyzing the syntactic structure of sentences.,3
"Practical Implementation: Libraries like NLTK, SpaCy, and Stanford NLP.",4
Machine Learning Algorithms: Approaches for training models on linguistic data.,3
Naive Bayes Classifier: A probabilistic classifier based on Bayes' theorem.,4
Support Vector Machines (SVMs): A supervised learning model for classification and regression.,4
Practical Implementation: Scikit-learn and TensorFlow.,5
